row no.,tree no.,X,Y
11,21.00,725451.75,4162697.75
11,22.00,725448.25,4162695.75
11,23.00,725445.75,4162693.75
11,24.00,725442.25,4162691.75
11,25.00,725436.25,4162687.25
11,26.00,725424.25,4162679.75
11,27.00,725421.75,4162677.75
11,28.00,725418.25,4162675.25
11,29.00,725415.75,4162674.25
11,30.00,725411.25,4162671.25
11,31.00,725409.25,4162670.25
11,32.00,725408.25,4162669.25
11,33.00,725406.24,4162668.04
11,34.00,725402.25,4162665.25
11,35.00,725400.25,4162663.75
11,36.00,725398.25,4162662.75
11,37.00,725397.25,4162662.25
11,38.00,725396.07,4162660.92
11,39.00,725394.46,4162660.28
11,40.00,725393.25,4162658.75
11,41.00,725391.25,4162657.75
11,42.00,725387.86,4162656.31
11,43.00,725386.75,4162654.75
11,44.00,725382.25,4162652.25
11,45.00,725380.75,4162651.25
11,46.00,725373.25,4162648.25
11,47.00,725374.20,4162646.77
11,48.00,725371.25,4162645.25
12,1.00,725495.75,4162723.75
12,2.00,725491.25,4162719.75
12,3.00,725489.75,4162718.25
12,4.00,725487.75,4162717.25
12,5.00,725485.25,4162715.25
12,6.00,725483.75,4162714.25
12,7.00,725481.75,4162713.25
12,8.00,725480.25,4162712.25
12,9.00,725478.75,4162711.25
12,10.00,725477.75,4162710.25
12,11.00,725475.59,4162709.33
12,12.00,725468.25,4162704.75
12,13.00,725463.25,4162701.75
12,14.00,725461.75,4162700.75
12,15.00,725460.25,4162699.75
12,16.00,725458.75,4162698.75
12,17.00,725457.25,4162697.75
12,18.00,725453.25,4162695.25
12,19.00,725450.25,4162693.25
12,20.00,725446.75,4162691.25
12,21.00,725444.25,4162688.75
12,22.00,725440.75,4162687.25
12,23.00,725435.25,4162683.25
12,24.00,725431.75,4162681.25
12,25.00,725428.75,4162679.25
12,26.00,725425.75,4162676.75
12,27.00,725422.25,4162675.25
12,28.00,725419.75,4162673.25
12,29.00,725417.75,4162671.75
12,30.00,725415.75,4162670.25
12,31.00,725413.24,4162668.69
12,32.00,725411.25,4162667.75
12,33.00,725409.75,4162666.25
12,34.00,725407.75,4162665.75
12,35.00,725406.34,4162664.87
12,36.00,725403.75,4162662.25
12,37.00,725400.75,4162660.75
12,38.00,725397.75,4162658.75
12,39.00,725393.25,4162655.25
12,40.00,725391.25,4162654.25
12,41.00,725389.68,4162653.57
12,42.00,725388.25,4162652.25
12,43.00,725385.58,4162650.50
12,44.00,725384.25,4162649.25
12,45.00,725381.75,4162648.75
12,46.00,725378.75,4162647.75
12,47.00,725375.75,4162645.25
12,48.00,725376.25,4162643.75
12,49.00,725372.25,4162642.75
13,1.00,725495.25,4162718.25
13,2.00,725492.75,4162717.25
13,3.00,725488.25,4162714.25
13,4.00,725486.25,4162713.25
13,5.00,725483.75,4162710.75
13,6.00,725480.25,4162709.25
13,7.00,725478.25,4162708.25
13,8.00,725474.25,4162705.25
13,9.00,725471.25,4162703.25
13,10.00,725470.25,4162702.25
13,11.00,725468.25,4162700.75
13,12.00,725466.75,4162699.75
13,13.00,725464.75,4162699.25
13,14.00,725463.75,4162697.75
13,15.00,725461.75,4162696.75
13,16.00,725457.25,4162694.25
13,17.00,725455.25,4162692.75
13,18.00,725452.75,4162691.25
13,19.00,725451.63,4162690.26
13,20.00,725448.25,4162688.75
13,21.00,725446.25,4162686.75
13,22.00,725442.75,4162684.75
13,23.00,725439.75,4162682.75
13,24.00,725436.75,4162680.75
13,25.00,725433.75,4162678.25
13,26.00,725430.75,4162676.75
13,27.00,725424.75,4162672.25
13,28.00,725421.75,4162670.75
13,29.00,725419.25,4162669.25
13,30.00,725414.75,4162666.25
13,31.00,725412.75,4162664.75
13,32.00,725409.75,4162663.25
13,33.00,725408.25,4162662.25
13,34.00,725407.25,4162661.25
13,35.00,725405.75,4162659.75
13,36.00,725402.25,4162658.25
13,37.00,725400.75,4162656.75
13,38.00,725398.75,4162656.25
13,39.00,725396.25,4162653.25
13,40.00,725394.25,4162652.75
13,41.00,725392.75,4162651.75
13,42.00,725390.25,4162649.75
13,43.00,725388.75,4162649.25
13,44.00,725386.75,4162647.75
13,45.00,725383.75,4162646.75
13,46.00,725376.75,4162641.75
13,47.00,725373.25,4162639.75
14,1.00,725498.75,4162717.75
14,2.00,725498.48,4162716.68
14,3.00,725494.75,4162714.75
14,4.00,725492.75,4162713.25
14,5.00,725491.21,4162712.54
14,6.00,725489.75,4162711.25
14,7.00,725488.54,4162710.59
14,8.00,725486.75,4162709.25
14,9.00,725483.75,4162707.25
14,10.00,725480.75,4162705.25
14,11.00,725477.75,4162703.75
14,12.00,725476.25,4162702.25
14,13.00,725474.47,4162701.48
14,14.00,725472.75,4162700.25
14,15.00,725469.75,4162698.25
14,16.00,725468.25,4162697.25
14,17.00,725467.25,4162696.75
14,18.00,725465.25,4162695.25
14,19.00,725463.75,4162694.25
14,20.00,725462.25,4162693.25
14,21.00,725460.75,4162692.25
14,22.00,725459.25,4162691.25
14,23.00,725456.75,4162690.25
14,24.00,725453.75,4162688.25
14,25.00,725447.25,4162684.25
14,26.00,725444.25,4162682.25
14,27.00,725442.09,4162679.01
14,28.00,725441.25,4162680.25
14,29.00,725438.75,4162677.75
14,30.00,725435.75,4162676.25
14,31.00,725432.25,4162673.75
14,32.00,725429.25,4162671.75
14,33.00,725422.75,4162668.25
14,34.00,725420.75,4162666.25
14,35.00,725419.33,4162665.49
14,36.00,725417.75,4162664.75
14,37.00,725416.25,4162663.25
14,38.00,725414.94,4162661.23
14,39.00,725411.25,4162660.75
14,40.00,725409.75,4162659.25
14,41.00,725406.05,4162657.24
14,42.00,725404.75,4162655.75
14,43.00,725403.25,4162654.75
14,44.00,725402.25,4162654.25
14,45.00,725399.25,4162652.25
14,46.00,725397.75,4162650.75
14,47.00,725394.75,4162649.25
14,48.00,725391.63,4162646.69
