ROW,TREE #,DBH,HT,HTLC,DIST from Tree 1,Dist from Tree 1 Ft,Tree,CuFT,CuMe,status
4,42,8.3,58.94896,,,0.0,222,9.884655373472004,0.27990180927953207,Alive
4,43,,0.0,,,0.0,223,0.0,0.0,Dead
4,44,9.4,61.42418,,,0.0,224,13.136798496624003,0.37199209566920255,Alive
4,45,8.4,59.18048,,2847.0,237.25,225,10.157833711744003,0.2876373456487126,Alive
4,46,10.0,62.708,,,0.0,226,15.143994000000001,0.4288294492992,Alive
4,47,7.9,58.00988,,,0.0,227,8.836033933704002,0.25020820569390945,Alive
4,48,,0.0,,,0.0,228,0.0,0.0,Dead
4,49,6.0,53.2652,,,0.0,229,4.783252336,0.13544639974804482,Alive
4,50,7.9,45.0,38.0,,0.0,230,6.903601000000002,0.19548788879680004,Alive
4,51,10.1,62.91742000000001,,,0.0,231,15.494820313796001,0.4387637278616986,Alive
4,52,9.4,61.42418,,,0.0,232,13.136798496624003,0.37199209566920255,Alive
4,53,,0.0,,,0.0,233,0.0,0.0,Dead
4,54,10.2,63.12554,,,0.0,234,15.850333212208001,0.44883071550345155,Alive
4,55,7.3,56.562259999999995,,,0.0,235,7.393292748252,0.2093543920937022,Alive
4,56,8.7,59.867239999999995,,,0.0,236,11.004106321527997,0.311601077885444,Alive
4,57,,0.0,,,0.0,237,0.0,0.0,Dead
4,58,,0.0,,,0.0,238,0.0,0.0,Dead
4,59,10.5,63.74209999999999,,,0.0,239,16.945098329500002,0.47983096037678563,Alive
4,60,8.8,53.0,44.0,3778.0,314.8333333333333,240,0.0,0.0,Alive
5,1,10.8,64.34696,,,0.0,241,18.082412006272,0.512036044299203,Alive
5,2,9.0,60.5423,,,0.0,242,11.890834594000001,0.33671038503137923,Alive
5,3,,0.0,,,0.0,243,0.0,0.0,Dead
5,4,9.3,61.20566,,,0.0,244,12.818442529492003,0.3629772734191192,Alive
5,5,9.2,60.98584,,,0.0,245,12.504672764288,0.3540923177317904,Alive
5,6,4.6,49.46882,,,0.0,246,2.710779350256,0.0767605967053291,Alive
5,7,11.7,66.09134,,,0.0,247,21.751929607588,0.6159450403121479,Alive
5,8,8.5,59.410700000000006,,,0.0,248,10.435456918500003,0.2954987464697809,Alive
5,9,8.5,59.410700000000006,,,0.0,249,10.435456918500003,0.2954987464697809,Alive
5,10,9.3,64.0,51.0,,0.0,250,13.393646800000003,0.37926521770624005,Alive
5,11,7.1,56.069320000000005,,,0.0,251,6.946451522456002,0.1967012784710821,Alive
5,12,9.5,61.6414,,,0.0,252,13.459754513,0.3811371765937184,Alive
5,13,5.2,51.12704,,,0.0,253,3.5097808846080008,0.09938576335326783,Alive
5,14,7.8,57.77186,,,0.0,254,8.584809110512,0.24309432262054617,Alive
5,15,11.7,66.09134,,852.0,71.0,255,21.751929607588,0.6159450403121479,Alive
5,16,10.4,63.53788,,,0.0,256,16.575461899904006,0.46936403952720174,Alive
5,17,9.9,62.49728,,,0.0,257,14.797843022464003,0.41902756129850866,Alive
5,18,10.5,63.74209999999999,,,0.0,258,16.945098329500002,0.47983096037678563,Alive
5,19,9.9,62.49728,,,0.0,259,14.797843022464003,0.41902756129850866,Alive
5,20,4.7,41.0,27.0,,0.0,260,2.3750322,0.06725331180096,Alive
5,21,7.1,56.069320000000005,,,0.0,261,6.946451522456002,0.1967012784710821,Alive
5,22,10.2,63.12554,,,0.0,262,15.850333212208001,0.44883071550345155,Alive
5,23,5.3,51.39886,,,0.0,263,3.655719666212,0.10351828264419197,Alive
5,24,9.7,62.07194,,,0.0,264,14.119520226348,0.39981963034545104,Alive
5,25,7.2,56.31644,,,0.0,265,7.167767314048001,0.20296823347843443,Alive
5,26,7.9,58.00988,,,0.0,266,8.836033933704002,0.25020820569390945,Alive
5,27,7.9,58.00988,,,0.0,267,8.836033933704002,0.25020820569390945,Alive
5,28,9.4,61.42418,,,0.0,268,13.136798496624003,0.37199209566920255,Alive
5,29,11.2,65.13524000000001,,,0.0,269,19.665433523328,0.5568621479933743,Alive
5,30,9.3,63.0,47.0,1970.0,164.16666666666666,270,13.187800600000003,0.3734363120300801,Alive
5,31,10.4,63.53788,,,0.0,271,16.575461899904006,0.46936403952720174,Alive
5,32,9.1,60.76472,,,0.0,272,12.195474982415998,0.3453368259820773,Alive
5,33,6.2,53.78674,,,0.0,273,5.140288239728002,0.1455565140267299,Alive
5,34,9.5,61.6414,,,0.0,274,13.459754513,0.3811371765937184,Alive
5,35,4.7,49.74844,,,0.0,275,2.8349744342480006,0.08027740405971379,Alive
5,36,7.6,57.291920000000005,,,0.0,276,8.095341492096,0.22923416596338403,Alive
5,37,10.6,63.94502,,,0.0,277,17.319462624336,0.4904317592407977,Alive
5,38,5.5,51.9386,,,0.0,278,3.9588095070000002,0.1121008170478176,Alive
5,39,6.6,54.814220000000006,,,0.0,279,5.9022336672160005,0.16713237030782205,Alive
5,40,9.1,57.0,43.0,,0.0,280,11.453494599999999,0.32432631588927996,Alive
5,41,5.3,51.39886,,,0.0,281,3.655719666212,0.10351828264419197,Alive
5,42,10.1,62.91742000000001,,,0.0,282,15.494820313796001,0.4387637278616986,Alive
5,43,7.7,57.53254,,,0.0,283,8.337918225908002,0.2361031628193917,Alive
5,44,7.7,57.53254,,,0.0,284,8.337918225908002,0.2361031628193917,Alive
5,45,7.0,55.8209,,2885.0,240.41666666666666,285,6.729323358,0.19055290366381442,Alive
5,46,9.0,60.5423,,,0.0,286,11.890834594000001,0.33671038503137923,Alive
5,47,6.9,55.57118,,,0.0,287,6.516360433924001,0.18452247513533915,Alive
5,48,7.5,57.05,,,0.0,288,7.857058750000001,0.22248676121200003,Alive
5,49,7.1,56.069320000000005,,,0.0,289,6.946451522456002,0.1967012784710821,Alive
5,50,5.7,53.0,46.0,,0.0,290,4.317778600000001,0.12226567306048004,Alive
5,51,6.0,53.2652,,,0.0,291,4.783252336,0.13544639974804482,Alive
5,52,5.5,51.9386,,,0.0,292,3.9588095070000002,0.1121008170478176,Alive
5,53,9.5,61.6414,,,0.0,293,13.459754513,0.3811371765937184,Alive
5,54,10.4,63.53788,,,0.0,294,16.575461899904006,0.46936403952720174,Alive
5,55,10.8,64.34696,,,0.0,295,18.082412006272,0.512036044299203,Alive
5,56,6.5,54.5593,,,0.0,296,5.7057004115000005,0.1615671774123632,Alive
5,57,10.4,63.53788,,,0.0,297,16.575461899904006,0.46936403952720174,Alive
5,58,9.9,62.49728,,,0.0,298,14.797843022464003,0.41902756129850866,Alive
