Row,Tree,pre_DBH,pre_HT,pre_stem_vol,pre_stem_vol_m3,status,DBH,HT
14,5,6.9,47.694,5.624,0.159,Alive,6.9,47.69371
14,6,7.5,48.939,6.771,0.192,Alive,7.5,48.939249999999994
14,7,7.7,49.354,7.184,0.203,Alive,7.7,49.354429999999994
14,8,7.5,48.939,6.771,0.192,Alive,7.5,48.939249999999994
14,9,7.6,49.147,6.976,0.198,Alive,7.6,49.14684
14,10,8.2,51.0,8.381,0.237,Alive,8.2,51.0
14,11,9.1,52.261,10.519,0.298,Alive,9.1,52.26069
14,12,8.0,49.977,7.832,0.222,Alive,8.0,49.9772
14,13,7.6,49.147,6.976,0.198,Alive,7.6,49.14684
14,14,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
14,15,3.5,40.636,1.404,0.04,Alive,3.5,40.63565
14,16,10.2,54.544,13.725,0.389,Alive,10.2,54.54418
14,17,9.1,52.261,10.519,0.298,Alive,9.1,52.26069
14,18,9.3,52.676,11.063,0.313,Alive,9.3,52.67587
14,19,10.9,55.997,16.054,0.455,Alive,10.9,55.99731
14,20,9.0,48.0,9.473,0.268,Alive,9.0,48.0
14,21,9.2,52.468,10.789,0.306,Alive,9.2,52.46827999999999
14,22,6.6,47.071,5.099,0.144,Alive,6.6,47.07093999999999
14,23,6.5,46.863,4.932,0.14,Alive,6.5,46.86335
15,1,9.4,52.883,11.341,0.321,Alive,9.4,52.88346
15,2,6.9,47.694,5.624,0.159,Alive,6.9,47.69371
15,3,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
15,4,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
15,5,9.1,52.261,10.519,0.298,Alive,9.1,52.26069
15,6,5.6,44.995,3.578,0.101,Alive,5.6,44.99504
15,7,7.7,49.354,7.184,0.203,Alive,7.7,49.354429999999994
15,8,11.3,56.828,17.49,0.495,Alive,11.3,56.82767
15,9,9.5,53.091,11.623,0.329,Alive,9.5,53.09105
15,10,8.8,51.0,9.619,0.272,Alive,8.8,51.0
15,11,5.7,45.203,3.715,0.105,Alive,5.7,45.20263
15,12,10.3,54.752,14.044,0.398,Alive,10.3,54.75176999999999
15,13,10.6,55.375,15.028,0.426,Alive,10.6,55.37454
15,14,7.8,49.562,7.396,0.209,Alive,7.8,49.56202
15,15,8.2,50.392,8.284,0.235,Alive,8.2,50.39238
15,16,10.1,54.337,13.412,0.38,Alive,10.1,54.336589999999994
15,17,10.0,54.129,13.102,0.371,Alive,10.0,54.129
15,18,8.0,49.977,7.832,0.222,Alive,8.0,49.9772
15,19,10.4,54.959,14.367,0.407,Alive,10.4,54.95936
15,20,6.3,44.0,4.376,0.124,Alive,6.3,44.0
15,21,8.8,51.638,9.737,0.276,Alive,8.8,51.637919999999994
15,22,9.7,53.506,12.201,0.346,Alive,9.7,53.506229999999995
16,1,9.6,53.299,11.91,0.337,Alive,9.6,53.29863999999999
16,2,7.8,49.562,7.396,0.209,Alive,7.8,49.56202
16,3,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
16,4,8.2,50.392,8.284,0.235,Alive,8.2,50.39238
16,5,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
16,6,6.7,47.279,5.271,0.149,Alive,6.7,47.27853
16,7,6.1,46.033,4.296,0.122,Alive,6.1,46.03299
16,8,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
16,9,7.3,48.524,6.374,0.18,Alive,7.3,48.524069999999995
16,10,7.6,49.0,6.955,0.197,Alive,7.6,49.0
16,11,9.8,53.714,12.497,0.354,Alive,9.8,53.71382
16,12,8.4,50.808,8.752,0.248,Alive,8.4,50.807559999999995
16,13,9.5,53.091,11.623,0.329,Alive,9.5,53.09105
16,14,5.5,44.787,3.444,0.098,Alive,5.5,44.78744999999999
16,15,6.5,46.863,4.932,0.14,Alive,6.5,46.86335
16,16,7.0,47.901,5.806,0.164,Alive,7.0,47.90129999999999
16,17,7.5,48.939,6.771,0.192,Alive,7.5,48.939249999999994
16,18,7.1,48.109,5.991,0.17,Alive,7.1,48.108889999999995
16,19,6.4,46.656,4.768,0.135,Alive,6.4,46.65576
16,20,9.4,56.0,11.996,0.34,Alive,9.4,56.0
16,21,9.1,52.261,10.519,0.298,Alive,9.1,52.26069
16,22,7.2,48.316,6.181,0.175,Alive,7.2,48.31648
16,23,7.1,48.109,5.991,0.17,Alive,7.1,48.108889999999995
16,24,8.4,50.808,8.752,0.248,Alive,8.4,50.807559999999995
17,1,4.3,42.296,2.081,0.059,Alive,4.3,42.29637
17,2,9.0,52.053,10.254,0.29,Alive,9.0,52.0531
17,3,7.6,49.147,6.976,0.198,Alive,7.6,49.14684
17,4,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
17,5,11.1,56.412,16.762,0.475,Alive,11.1,56.41248999999999
17,6,9.0,52.053,10.254,0.29,Alive,9.0,52.0531
17,7,7.6,49.147,6.976,0.198,Alive,7.6,49.14684
17,8,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
17,9,11.1,56.412,16.762,0.475,Alive,11.1,56.41248999999999
17,10,9.0,52.053,10.254,0.29,Alive,9.0,52.0531
17,11,9.4,52.883,11.341,0.321,Alive,9.4,52.88346
17,12,10.2,54.544,13.725,0.389,Alive,10.2,54.54418
17,13,7.7,49.354,7.184,0.203,Alive,7.7,49.354429999999994
17,14,8.9,56.0,10.777,0.305,Alive,8.9,56.0
17,15,8.2,50.392,8.284,0.235,Alive,8.2,50.39238
17,16,5.8,45.41,3.855,0.109,Alive,5.8,45.410219999999995
17,17,4.0,41.674,1.806,0.051,Alive,4.0,41.67359999999999
17,18,7.8,49.562,7.396,0.209,Alive,7.8,49.56202
17,19,6.5,46.863,4.932,0.14,Alive,6.5,46.86335
17,20,9.9,53.921,12.797,0.362,Alive,9.9,53.921409999999995
17,21,10.2,54.544,13.725,0.389,Alive,10.2,54.54418
17,22,9.7,53.506,12.201,0.346,Alive,9.7,53.506229999999995
17,23,10.0,54.129,13.102,0.371,Alive,10.0,54.129
17,24,6.4,45.0,4.606,0.13,Alive,6.4,45.0
17,25,5.8,45.41,3.855,0.109,Alive,5.8,45.410219999999995
17,26,7.5,48.939,6.771,0.192,Alive,7.5,48.939249999999994
17,27,9.4,52.883,11.341,0.321,Alive,9.4,52.88346
17,28,10.0,54.129,13.102,0.371,Alive,10.0,54.129
17,29,7.8,49.562,7.396,0.209,Alive,7.8,49.56202
17,30,5.6,44.995,3.578,0.101,Alive,5.6,44.99504
17,31,10.3,54.752,14.044,0.398,Alive,10.3,54.75176999999999
17,32,6.2,46.241,4.45,0.126,Alive,6.2,46.240579999999994
17,33,7.3,48.524,6.374,0.18,Alive,7.3,48.524069999999995
18,1,7.0,47.901,5.806,0.164,Alive,7.0,47.90129999999999
18,2,9.1,52.261,10.519,0.298,Alive,9.1,52.26069
18,3,8.9,51.846,9.993,0.283,Alive,8.9,51.84551
18,4,6.5,46.863,4.932,0.14,Alive,6.5,46.86335
18,5,8.8,51.638,9.737,0.276,Alive,8.8,51.637919999999994
18,6,11.6,57.45,18.618,0.527,Alive,11.6,57.45043999999999
18,7,9.9,53.921,12.797,0.362,Alive,9.9,53.921409999999995
18,8,8.2,50.392,8.284,0.235,Alive,8.2,50.39238
18,9,7.6,49.147,6.976,0.198,Alive,7.6,49.14684
18,10,6.9,44.0,5.205,0.147,Alive,6.9,44.0
18,11,8.7,51.43,9.484,0.269,Alive,8.7,51.43033
18,12,9.5,53.091,11.623,0.329,Alive,9.5,53.09105
18,13,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
18,14,7.0,47.901,5.806,0.164,Alive,7.0,47.90129999999999
18,15,7.0,47.901,5.806,0.164,Alive,7.0,47.90129999999999
18,16,6.5,46.863,4.932,0.14,Alive,6.5,46.86335
18,17,7.1,48.109,5.991,0.17,Alive,7.1,48.108889999999995
18,18,7.3,48.524,6.374,0.18,Alive,7.3,48.524069999999995
18,19,5.7,45.203,3.715,0.105,Alive,5.7,45.20263
18,20,8.8,55.0,10.356,0.293,Alive,8.8,55.0
18,21,8.7,51.43,9.484,0.269,Alive,8.7,51.43033
18,22,9.3,52.676,11.063,0.313,Alive,9.3,52.67587
18,23,8.4,50.808,8.752,0.248,Alive,8.4,50.807559999999995
18,24,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
18,25,9.1,52.261,10.519,0.298,Alive,9.1,52.26069
18,26,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
19,1,9.8,53.714,12.497,0.354,Alive,9.8,53.71382
19,2,7.6,49.147,6.976,0.198,Alive,7.6,49.14684
19,3,8.3,50.6,8.516,0.241,Alive,8.3,50.59997
19,4,7.1,48.109,5.991,0.17,Alive,7.1,48.108889999999995
19,5,8.2,50.392,8.284,0.235,Alive,8.2,50.39238
19,6,9.4,52.883,11.341,0.321,Alive,9.4,52.88346
19,7,7.7,49.354,7.184,0.203,Alive,7.7,49.354429999999994
19,8,8.0,49.977,7.832,0.222,Alive,8.0,49.9772
19,9,7.6,49.147,6.976,0.198,Alive,7.6,49.14684
19,10,11.2,56.0,16.938,0.48,Alive,11.2,56.0
19,11,9.0,52.053,10.254,0.29,Alive,9.0,52.0531
19,12,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
19,13,7.5,48.939,6.771,0.192,Alive,7.5,48.939249999999994
19,14,7.0,47.901,5.806,0.164,Alive,7.0,47.90129999999999
19,15,7.0,47.901,5.806,0.164,Alive,7.0,47.90129999999999
19,16,6.7,47.279,5.271,0.149,Alive,6.7,47.27853
19,17,6.6,47.071,5.099,0.144,Alive,6.6,47.07093999999999
19,18,7.8,49.562,7.396,0.209,Alive,7.8,49.56202
19,19,7.1,48.109,5.991,0.17,Alive,7.1,48.108889999999995
19,20,3.4,34.0,1.155,0.033,Alive,3.4,34.0
19,21,8.4,50.808,8.752,0.248,Alive,8.4,50.807559999999995
19,22,9.5,53.091,11.623,0.329,Alive,9.5,53.09105
19,23,8.8,51.638,9.737,0.276,Alive,8.8,51.637919999999994
19,24,4.1,41.881,1.895,0.054,Alive,4.1,41.88119
19,25,8.0,49.977,7.832,0.222,Alive,8.0,49.9772
19,26,6.5,46.863,4.932,0.14,Alive,6.5,46.86335
19,27,8.7,51.43,9.484,0.269,Alive,8.7,51.43033
