Row,Tree,X,Y
10,31,725412.37,4162675.67
10,32,725410.75,4162674.25
10,33,725408.47,4162673.91
10,34,725405.25,4162670.75
10,35,725403.25,4162669.25
10,36,725401.25,4162668.25
10,37,725399.75,4162667.25
10,38,725394.25,4162663.75
10,39,725392.75,4162662.25
10,40,725391.25,4162661.35
10,41,725389.48,4162660.61
10,42,725388.25,4162659.25
10,43,725386.25,4162658.25
10,44,725383.62,4162656.5
10,45,725382.25,4162655.25
10,46,725380.25,4162654.75
10,47,725378.75,4162653.25
10,48,725369.66,4162648.61
10,49,725370.25,4162647.25
11,1,725491.25,4162723.75
11,2,725489.46,4162722.35
11,3,725487.75,4162721.25
11,4,725486.38,4162720.15
11,5,725484.75,4162719.25
11,6,725483.25,4162717.75
11,7,725480.25,4162716.25
11,8,725477.25,4162714.25
11,9,725475.25,4162712.75
11,10,725473.95,4162711.7
11,11,725472.75,4162710.75
11,12,725470.75,4162709.75
11,13,725469.25,4162709.25
11,14,725466.25,4162707.25
11,15,725464.75,4162706.25
11,16,725462.75,4162704.75
11,17,725459.75,4162703.25
11,18,725458.75,4162702.25
11,19,725455.75,4162700.25
11,20,725453.25,4162699.25
11,21,725451.75,4162697.75
11,22,725448.25,4162695.75
11,23,725445.75,4162693.75
11,24,725442.25,4162691.75
11,25,725436.25,4162687.25
11,26,725424.25,4162679.75
11,27,725421.75,4162677.75
11,28,725418.25,4162675.25
11,29,725415.75,4162674.25
11,30,725411.25,4162671.25
11,31,725409.25,4162670.25
11,32,725408.25,4162669.25
11,33,725406.24,4162668.04
11,34,725402.25,4162665.25
11,35,725400.25,4162663.75
11,36,725398.25,4162662.75
11,37,725397.25,4162662.25
11,38,725396.07,4162660.92
11,39,725394.46,4162660.28
11,40,725393.25,4162658.75
11,41,725391.25,4162657.75
11,42,725387.86,4162656.31
11,43,725386.75,4162654.75
11,44,725382.25,4162652.25
11,45,725380.75,4162651.25
11,46,725373.25,4162648.25
11,47,725374.2,4162646.77
11,48,725371.25,4162645.25
12,1,725495.75,4162723.75
12,2,725491.25,4162719.75
12,3,725489.75,4162718.25
12,4,725487.75,4162717.25
12,5,725485.25,4162715.25
12,6,725483.75,4162714.25
12,7,725481.75,4162713.25
12,8,725480.25,4162712.25
12,9,725478.75,4162711.25
12,10,725477.75,4162710.25
12,11,725475.59,4162709.33
12,12,725468.25,4162704.75
12,13,725463.25,4162701.75
12,14,725461.75,4162700.75
12,15,725460.25,4162699.75
12,16,725458.75,4162698.75
12,17,725457.25,4162697.75
12,18,725453.25,4162695.25
12,19,725450.25,4162693.25
12,20,725446.75,4162691.25
12,21,725444.25,4162688.75
12,22,725440.75,4162687.25
12,23,725435.25,4162683.25
12,24,725431.75,4162681.25
12,25,725428.75,4162679.25
12,26,725425.75,4162676.75
12,27,725422.25,4162675.25
12,28,725419.75,4162673.25
12,29,725417.75,4162671.75
12,30,725415.75,4162670.25
12,31,725413.24,4162668.69
12,32,725411.25,4162667.75
12,33,725409.75,4162666.25
12,34,725407.75,4162665.75
12,35,725406.34,4162664.87
12,36,725403.75,4162662.25
12,37,725400.75,4162660.75
12,38,725397.75,4162658.75
12,39,725393.25,4162655.25
12,40,725391.25,4162654.25
12,41,725389.68,4162653.57
12,42,725388.25,4162652.25
12,43,725385.58,4162650.5
12,44,725384.25,4162649.25
12,45,725381.75,4162648.75
12,46,725378.75,4162647.75
12,47,725375.75,4162645.25
12,48,725376.25,4162643.75
12,49,725372.25,4162642.75
13,1,725495.25,4162718.25
13,2,725492.75,4162717.25
13,3,725488.25,4162714.25
13,4,725486.25,4162713.25
13,5,725483.75,4162710.75
13,6,725480.25,4162709.25
13,7,725478.25,4162708.25
13,8,725474.25,4162705.25
13,9,725471.25,4162703.25
13,10,725470.25,4162702.25
13,11,725468.25,4162700.75
13,12,725466.75,4162699.75
13,13,725464.75,4162699.25
13,14,725463.75,4162697.75
13,15,725461.75,4162696.75
13,16,725457.25,4162694.25
13,17,725455.25,4162692.75
13,18,725452.75,4162691.25
13,19,725451.63,4162690.26
13,20,725448.25,4162688.75
13,21,725446.25,4162686.75
13,22,725442.75,4162684.75
13,23,725439.75,4162682.75
13,24,725436.75,4162680.75
13,25,725433.75,4162678.25
13,26,725430.75,4162676.75
13,27,725424.75,4162672.25
13,28,725421.75,4162670.75
13,29,725419.25,4162669.25
13,30,725414.75,4162666.25
13,31,725412.75,4162664.75
13,32,725409.75,4162663.25
13,33,725408.25,4162662.25
13,34,725407.25,4162661.25
13,35,725405.75,4162659.75
13,36,725402.25,4162658.25
13,37,725400.75,4162656.75
13,38,725398.75,4162656.25
13,39,725396.25,4162653.25
13,40,725394.25,4162652.75
13,41,725392.75,4162651.75
13,42,725390.25,4162649.75
13,43,725388.75,4162649.25
13,44,725386.75,4162647.75
13,45,725383.75,4162646.75
13,46,725376.75,4162641.75
13,47,725373.25,4162639.75
14,1,725498.75,4162717.75
14,2,725498.48,4162716.68
14,3,725494.75,4162714.75
14,4,725492.75,4162713.25
14,5,725491.21,4162712.54
14,6,725489.75,4162711.25
14,7,725488.54,4162710.59
14,8,725486.75,4162709.25
14,9,725483.75,4162707.25
14,10,725480.75,4162705.25
14,11,725477.75,4162703.75
14,12,725476.25,4162702.25
14,13,725474.47,4162701.48
14,14,725472.75,4162700.25
14,15,725469.75,4162698.25
14,16,725468.25,4162697.25
14,17,725467.25,4162696.75
14,18,725465.25,4162695.25
14,19,725463.75,4162694.25
14,20,725462.25,4162693.25
14,21,725460.75,4162692.25
14,22,725459.25,4162691.25
14,23,725456.75,4162690.25
14,24,725453.75,4162688.25
14,25,725447.25,4162684.25
14,26,725444.25,4162682.25
14,27,725442.09,4162679.01
14,28,725441.25,4162680.25
14,29,725438.75,4162677.75
14,30,725435.75,4162676.25
14,31,725432.25,4162673.75
14,32,725429.25,4162671.75
14,33,725422.75,4162668.25
14,34,725420.75,4162666.25
14,35,725419.33,4162665.49
14,36,725417.75,4162664.75
14,37,725416.25,4162663.25
14,38,725414.94,4162661.23
14,39,725411.25,4162660.75
14,40,725409.75,4162659.25
14,41,725406.05,4162657.24
14,42,725404.75,4162655.75
14,43,725403.25,4162654.75
14,44,725402.25,4162654.25
14,45,725399.25,4162652.25
14,46,725397.75,4162650.75
14,47,725394.75,4162649.25
14,48,725391.63,4162646.69
14,49,725390.25,4162646.25
14,50,725385.25,4162643.25
14,51,725380.75,4162641.75
14,52,725377.75,4162639.25
14,53,725374.75,4162637.75
15,1,725498.5,4162714.9
15,2,725497.39,4162711.71
15,3,725485.7,4162704.48
15,4,725482.75,4162703.25
15,5,725480.75,4162702.25
15,6,725477.75,4162700.25
15,7,725475.75,4162699.25
15,8,725474.75,4162698.25
15,9,725473.25,4162697.25
15,10,725468.75,4162694.25
15,11,725467.25,4162693.25
15,12,725465.64,4162691.94
15,13,725462.75,4162690.25
15,14,725461.25,4162689.25
15,15,725459.9,4162687.83
15,16,725456.75,4162686.25
15,17,725455.25,4162685.25
15,18,725453.29,4162684.52
15,19,725452.75,4162682.75
15,20,725449.25,4162680.75
15,21,725446.25,4162679.75
15,22,725443.75,4162677.75
15,23,725440.25,4162675.75
15,24,725437.75,4162673.25
15,25,725434.75,4162671.25
15,26,725431.25,4162669.25
15,27,725425.25,4162665.75
15,28,725422.25,4162663.75
15,29,725419.25,4162661.75
15,30,725416.25,4162659.75
15,31,725413.25,4162657.25
15,32,725409.75,4162655.25
15,33,725406.75,4162653.75
15,34,725403.25,4162651.25
15,35,725397.75,4162648.25
15,36,725394.75,4162645.75
15,37,725391.75,4162643.25
15,38,725388.25,4162641.75
15,39,725385.25,4162639.25
15,40,725384.22,4162639.17
15,41,725382.25,4162638.25
15,42,725380.36,4162637.05
15,43,725379.25,4162635.75
15,44,725376.25,4162633.75
15,45,725375.23,4162632.34
16,1,725499.75,4162711.25
16,2,725496.75,4162708.25
16,3,725493.25,4162707.75
16,4,725492.75,4162705.25
16,5,725491.75,4162704.25
16,6,725486.25,4162701.75
16,7,725484.25,4162700.75
16,8,725481.75,4162699.25
16,9,725480.4,4162698.7
16,10,725479.75,4162697.75
16,11,725478.15,4162696.72
16,12,725476.75,4162695.75
16,13,725475.7,4162694.69
16,14,725474.25,4162693.25
16,15,725471.75,4162692.75
16,16,725469.75,4162690.75
16,17,725467.75,4162689.75
16,18,725466.02,4162688.64
16,19,725464.75,4162687.75
16,20,725462.75,4162686.25
16,21,725461.18,4162685.47
16,22,725458.75,4162683.25
16,23,725455.75,4162681.25
16,24,725454.16,4162680.17
16,25,725452.25,4162679.75
16,26,725451.25,4162678.25
16,27,725445.25,4162675.25
16,28,725443.25,4162673.75
16,29,725436.25,4162669.25
16,30,725434.33,4162666.97
16,31,725432.75,4162667.25
16,32,725430.25,4162664.75
16,33,725427.25,4162663.25
16,34,725424.25,4162661.25
16,35,725420.75,4162659.25
16,36,725418.25,4162657.25
16,37,725414.75,4162655.25
16,38,725412.25,4162653.25
16,39,725408.75,4162651.25
16,40,725405.75,4162649.25
16,41,725402.25,4162647.75
16,42,725399.25,4162645.75
16,43,725396.75,4162643.25
16,44,725393.25,4162640.75
16,45,725390.75,4162639.25
16,46,725387.25,4162637.25
16,47,725384.25,4162635.25
16,48,725380.75,4162633.25
16,49,725378.25,4162631.25
16,50,725376.28,4162631.03
16,51,725374.25,4162630.25
17,1,725500.75,4162708.75
17,2,725495.75,4162705.75
17,3,725490.25,4162701.75
17,4,725487.75,4162699.25
17,5,725486.25,4162697.75
17,6,725483.25,4162696.25
17,7,725481.25,4162695.25
17,8,725478.25,4162693.25
17,9,725477.25,4162691.75
17,10,725475.25,4162690.75
17,11,725473.75,4162689.75
17,12,725470.75,4162688.25
17,13,725469.25,4162687.25
17,14,725467.25,4162686.25
17,15,725465.25,4162684.25
17,16,725461.25,4162682.25
17,17,725459.78,4162681.11
17,18,725458.75,4162680.25
17,19,725455.75,4162678.25
17,20,725454.25,4162676.75
17,21,725449.75,4162674.75
17,22,725446.75,4162673.25
17,23,725444.25,4162670.25
17,24,725440.75,4162668.75
17,25,725438.25,4162666.75
17,26,725434.25,4162664.75
17,27,725428.75,4162661.25
17,28,725425.75,4162658.75
17,29,725422.75,4162655.75
17,30,725419.25,4162654.75
17,31,725416.75,4162652.75
17,32,725413.75,4162650.25
17,33,725410.25,4162648.75
17,34,725407.25,4162646.75
17,35,725404.25,4162644.75
17,36,725400.75,4162642.75
17,37,725398.75,4162640.75
17,38,725395.75,4162639.25
17,39,725392.25,4162636.25
17,40,725388.75,4162634.75
17,41,725386.25,4162632.75
17,42,725382.75,4162630.75
17,43,725379.75,4162628.25
18,1,725504.19,4162707.41
18,2,725499.25,4162704.25
18,3,725496.75,4162702.25
18,4,725489.25,4162696.75
18,5,725487.75,4162695.75
18,6,725485.62,4162694.67
18,7,725482.89,4162692.68
18,8,725481.25,4162691.75
18,9,725479.75,4162690.75
18,10,725477.25,4162688.75
18,11,725471.25,4162684.25
18,12,725469.36,4162683.55
18,13,725466.75,4162681.75
18,14,725464.75,4162680.25
18,15,725463.22,4162679.72
18,16,725461.75,4162678.25
18,17,725459.75,4162677.25
18,18,725457.25,4162675.75
18,19,725455.75,4162674.25
18,20,725451.75,4162672.25
18,21,725448.25,4162670.75
18,22,725448.75,4162669.75
18,23,725445.25,4162668.25
18,24,725442.25,4162666.25
18,25,725440.91,4162666.56
18,26,725439.75,4162664.25
18,27,725437.86,4162662.93
18,28,725436.25,4162662.25
18,29,725433.25,4162660.25
18,30,725431.41,4162659.42
18,31,725430.25,4162657.75
18,32,725427.25,4162655.75
18,33,725423.75,4162653.75
18,34,725421.25,4162651.75
18,35,725418.25,4162650.25
18,36,725414.75,4162648.25
18,37,725412.25,4162645.75
18,38,725408.75,4162644.25
18,39,725405.75,4162641.75
18,40,725402.75,4162640.25
18,41,725399.75,4162638.25
18,42,725396.75,4162635.75
18,43,725393.75,4162633.75
18,44,725390.25,4162632.25
18,45,725387.75,4162630.25
18,46,725384.75,4162627.75
18,47,725381.25,4162625.75
18,48,725377.66,4162624.54
19,1,725505.25,4162704.25
19,2,725504.5,4162703.33
19,3,725501.75,4162700.25
19,4,725499.66,4162700.51
19,5,725496.25,4162696.75
19,6,725492.75,4162696.75
19,7,725491.04,4162694.07
19,8,725487.75,4162692.25
19,9,725486.25,4162691.25
19,10,725485.25,4162689.87
19,11,725482.75,4162689.25
19,12,725479.75,4162687.25
19,13,725476.75,4162685.25
19,14,725475.75,4162683.84
19,15,725474.25,4162683.25
19,16,725472.25,4162681.75
19,17,725469.25,4162680.25
19,18,725467.75,4162678.75
19,19,725466.61,4162679.71
19,20,725465.07,4162677.2
19,21,725463.25,4162676.25
19,22,725460.25,4162673.75
19,23,725458.75,4162672.75
19,24,725455.25,4162671.25
19,25,725453.25,4162669.25
19,26,725450.25,4162667.25
19,27,725447.75,4162665.25
19,28,725443.75,4162663.25
19,29,725440.75,4162661.75
19,30,725438.25,4162659.75
19,31,725434.75,4162657.75
19,32,725432.25,4162655.75
19,33,725426.25,4162651.75
19,34,725422.75,4162649.25
19,35,725418.01,4162645.37
19,36,725416.75,4162645.75
19,37,725413.75,4162643.25
19,38,725411.25,4162642.25
19,39,725407.25,4162639.75
19,40,725404.25,4162637.25
19,41,725401.75,4162635.75
19,42,725398.25,4162633.25
19,43,725395.25,4162631.25
19,44,725392.25,4162629.75
19,45,725389.25,4162627.25
19,46,725385.75,4162625.75
19,47,725383.25,4162623.25
19,48,725377.75,4162621.25
20,1,725495.25,4162693.25
20,2,725492.75,4162691.25
20,3,725489.75,4162689.75
20,4,725487.75,4162688.75
20,5,725484.75,4162686.75
20,6,725482.75,4162684.75
20,7,725480.25,4162683.75
20,8,725477.25,4162681.75
20,9,725475.75,4162680.25
20,10,725472.75,4162678.75
20,11,725471.25,4162677.75
20,12,725469.64,4162676.69
20,13,725468.25,4162675.75
20,14,725466.75,4162674.75
20,15,725463.75,4162672.75
20,16,725462.25,4162671.25
20,17,725460.25,4162670.25
20,18,725458.25,4162669.75
20,19,725456.75,4162668.75
20,20,725454.75,4162667.25
20,21,725451.75,4162664.75
20,22,725448.75,4162663.25
20,23,725445.75,4162661.25
20,24,725442.25,4162659.25
20,25,725439.75,4162656.75
20,26,725436.75,4162654.75
20,27,725433.75,4162653.25
20,28,725430.75,4162651.25
20,29,725427.75,4162648.75
