Row,Tree,pre_DBH,pre_HT,pre_LLC,pre_stem_vol
9,23,12.9,70.466363,,28.12810177
9,24,9.9,68.864543,,16.28309499
9,25,9.7,68.607547,,15.58306615
9,26,10.1,70.3,40.1,17.28719114
9,27,11,69.9424,,20.36150235
9,28,11.8,70.369552,,23.53934028
9,29,10.9,69.867883,,19.97587757
9,30,11.1,70.012223,,20.74986027
9,31,8.5,66.671275,,11.68394909
9,32,8.2,66.081592,,10.79460647
9,33,10.1,69.102763,,16.99652139
9,34,7.8,65.229632,,9.66468853
9,35,9.8,68.738392,,15.9313817
9,36,7.5,66.8,47.3,9.16234
9,37,7.5,64.541375,,8.859966578
9,38,9.1,67.723903,,13.56704505
9,39,9.7,68.607547,,15.58306615
9,40,8.3,66.282847,,11.08710628
9,41,8.9,67.391803,,12.92417922
9,42,6.4,,,0.21949
9,43,6.7,62.499487,,6.896822692
9,44,7.9,,,0.21949
9,45,8.1,69.3,44.7,11.04080974
9,46,8.3,66.282847,,11.08710628
9,47,7.7,65.004907,,9.392345428
9,48,7.1,63.557983,,7.844909857
9,49,7.9,65.449663,,9.941108053
9,50,7,63.3004,,7.601582648
9,51,7.5,64.541375,,8.859966578
9,52,8.2,66.081592,,10.79460647
9,53,7.8,65.229632,,9.66468853
9,54,9.1,67.723903,,13.56704505
10,1,8.1,65.875643,,10.50609023
10,2,9.7,68.607547,,15.58306615
10,3,8.3,66.282847,,11.08710628
10,4,8.3,66.282847,,11.08710628
10,5,8.7,67.040927,,12.29639008
10,6,7.4,64.302568,,8.599966524
10,7,9,67.5602,,13.24374536
10,8,9.1,72.2,48.5,14.44922916
10,9,8.6,66.858448,,11.98823494
10,10,7.2,63.810872,,8.092424339
10,11,9,67.5602,,13.24374536
10,12,9.1,67.723903,,13.56704505
10,13,8.3,66.282847,,11.08710628
10,14,9,67.5602,,13.24374536
10,15,8.8,67.218712,,12.6083826
10,16,8.9,69.4,49.1,13.30276412
10,17,8.5,66.671275,,11.68394909
10,18,6.9,63.038123,,7.362453186
10,19,8.1,65.875643,,10.50609023
10,20,10.8,69.788672,,19.59304867
10,21,10.3,69.322207,,17.7229452
10,22,9.1,67.723903,,13.56704505
10,23,7.9,65.449663,,9.941108053
10,24,11.2,70.077352,,21.14088722
10,25,6.8,62.771152,,7.127530603
10,26,10.2,70.1,43.6,17.57731552
10,27,6.2,61.070752,,5.806682102
10,28,8.3,66.282847,,11.08710628
10,29,10.4,69.424888,,18.09090021
10,30,12.6,,,0.21949
10,31,8.6,66.858448,,11.98823494
10,32,8.7,67.040927,,12.29639008
10,33,5.6,59.201368,,4.638090663
10,34,7.1,63.557983,,7.844909857
10,35,8.7,74.4,53.1,13.62206968
10,36,8,65.665,,10.2215828
10,37,8.9,67.391803,,12.92417922
10,38,7.1,63.557983,,7.844909857
10,39,8.7,67.040927,,12.29639008
10,40,7.7,65.004907,,9.392345428
10,41,7.8,65.229632,,9.66468853
10,42,7.8,65.229632,,9.66468853
10,43,7.4,64.9,47.8,8.67782912
10,44,6.6,62.223128,,6.670335905
10,45,8.8,67.218712,,12.6083826
10,46,8.4,66.479408,,11.38356313
10,47,5.9,60.157183,,5.203380266
10,48,8.6,66.858448,,11.98823494
10,49,8.6,66.858448,,11.98823494
10,50,9,67.5602,,13.24374536
10,51,7.6,64.775488,,9.124098605
10,52,10.2,71,47.1,17.8001692
11,1,8.4,66.479408,,11.38356313
11,2,7,63.3004,,7.601582648
11,3,9,67.5602,,13.24374536
11,4,9.5,68.331775,,14.89681361
11,5,8.5,66.671275,,11.68394909
11,6,9.4,68.186848,,14.55896594
11,7,8.1,65.875643,,10.50609023
11,8,7,63.3004,,7.601582648
11,9,8.8,71.7,49.1,13.43431624
11,10,7.6,64.775488,,9.124098605
11,11,5,,,0.21949
11,12,6.3,61.365887,,6.016246691
11,13,5.7,,,0.21949
11,14,6.9,63.038123,,7.362453186
11,15,9.9,68.864543,,16.28309499
11,16,7.8,65.229632,,9.66468853
11,17,7.9,65.449663,,9.941108053
11,18,7.6,64.775488,,9.124098605
11,19,8.5,69.1,45.9,12.1015805
11,20,6.8,62.771152,,7.127530603
11,21,7.7,65.004907,,9.392345428
11,22,8,65.665,,10.2215828
11,23,6.3,61.365887,,6.016246691
11,24,8.9,67.391803,,12.92417922
11,25,10.1,69.102763,,16.99652139
11,26,12.1,70.452283,,24.76899663
11,27,11.1,70.012223,,20.74986027
